Date,Open,Low,High,Close,Adj close,Volume,% Change (24 hours),
2018-10-20,6490.6,6474.47,6557.39,6509.87,6509.87,1.05284e+08,0.29751,
2018-10-19,6469.28,6395.45,6645.2,6490.56,6490.56,1.27186e+08,0.328943,
2018-10-18,6489.37,6449.36,6503.09,6469.28,6469.28,2.37855e+08,-0.299603,
2018-10-17,6576.4,6445.05,6616.27,6488.72,6488.72,3.31761e+08,-1.30504,
2018-10-16,6583.05,6511.6,6589.2,6574.52,6574.52,2.20419e+08,-0.129572,
2018-10-15,6612.69,6545.54,6724.91,6583.05,6583.05,3.24233e+08,-0.443262,
2018-10-14,6277.73,6244.77,7234.83,6612.36,6612.36,1.19052e+09,5.33043,
2018-10-13,6267.27,6247.17,6346.56,6277.73,6277.73,2.15423e+08,0.166898,
2018-10-12,6252.1,6238.92,6280.73,6267.27,6267.27,1.37705e+08,0.262683,
2018-10-11,6209.47,6173.86,6296.56,6250.85,6250.85,2.8984e+08,0.6664,
2018-10-10,6581.07,6171.95,6581.59,6209.47,6209.47,6.54924e+08,-5.64649,
2018-10-09,6631.79,6487.86,6633.22,6581.07,6581.07,3.23665e+08,-0.764804,
2018-10-08,6650.07,6589.39,6657,6631.79,6631.79,2.13977e+08,-0.274881,
2018-10-07,6601.46,6565.01,6698.31,6650.07,6650.07,3.13507e+08,0.741082,
2018-10-06,6589.94,6535.02,6622.49,6601.15,6601.15,1.79379e+08,0.170107,
2018-10-05,6632.88,6563.25,6637.08,6589.94,6589.94,1.62722e+08,-0.647234,
2018-10-04,6580,6546.98,6683.55,6632.87,6632.87,2.62562e+08,0.806714,
2018-10-03,6492.61,6486.86,6622.32,6579.79,6579.79,2.77614e+08,1.34823,
2018-10-02,6525.46,6428.98,6537.07,6492.26,6492.26,3.06385e+08,-0.508936,
2018-10-01,6594.98,6478.04,6618.95,6525.47,6525.47,2.67166e+08,-1.05398,
2018-09-30,6623.82,6510.54,6662.6,6594.98,6594.98,2.5696e+08,-0.433745,
2018-09-29,6603.75,6543.68,6741.96,6623.71,6623.71,1.74302e+08,0.302252,
2018-09-28,6635.4,6474.23,6635.42,6603.75,6603.75,2.45055e+08,-0.476685,
2018-09-27,6686.13,6545.41,6806.1,6635.38,6635.38,4.97341e+08,-0.759034,
2018-09-26,6462.6,6434.76,6733.94,6686.13,6686.13,3.45097e+08,3.45882,
2018-09-25,6437.74,6383.16,6543.92,6462.6,6462.6,2.64403e+08,0.386158,
2018-09-24,6583.53,6333.21,6583.54,6437.74,6437.74,4.20279e+08,-2.21446,
2018-09-23,6702.73,6557.82,6717.6,6583.53,6583.53,3.24661e+08,-1.77795,
2018-09-22,6716.6,6663.9,6768.56,6702.7,6702.7,1.6908e+08,-0.206948,
2018-09-21,6762.07,6633.01,6834.49,6716.6,6716.6,2.61159e+08,-0.67228,
2018-09-20,6505.97,6501.01,6785.22,6762.06,6762.06,5.69643e+08,3.93735,
2018-09-19,6398.83,6361.33,6551.93,6505.9,6505.9,3.0162e+08,1.67375,
2018-09-18,6346.44,6131.02,6522.9,6398.8,6398.8,4.52379e+08,0.825027,
2018-09-17,6261.33,6238.25,6393.39,6346.44,6346.44,3.48486e+08,1.35687,
2018-09-16,6502.44,6216.83,6538.82,6261.48,6261.48,3.99676e+08,-3.70569,
2018-09-15,6522.68,6404.31,6525.05,6502.44,6502.44,2.00546e+08,-0.301133,
2018-09-14,6485.39,6473.47,6573.19,6522.08,6522.08,2.0835e+08,0.556125,
2018-09-13,6492.17,6393.84,6591.59,6486.01,6486.01,3.77989e+08,-0.092271,
2018-09-12,6337.08,6337.08,6534.89,6492,6492,4.25091e+08,2.44418,
2018-09-11,6295.54,6208.28,6357.89,6337.11,6337.11,3.32537e+08,0.660306,
2018-09-10,6324.43,6199.19,6415.51,6295.54,6295.54,3.24513e+08,-0.456802,
2018-09-09,6249.07,6247.64,6371.42,6324.43,6324.43,3.20435e+08,1.20595,
2018-09-08,6200.23,6161.83,6451.25,6249.07,6249.07,2.444e+08,0.788845,
2018-09-07,6413.12,6134.76,6480.57,6200.16,6200.16,3.1738e+08,-3.30048,
2018-09-06,6515.42,6345.48,6549.39,6411.78,6411.78,3.44487e+08,-1.59069,
2018-09-05,6705.06,6295.11,6727.19,6515.42,6515.42,8.23309e+08,-2.82788,
2018-09-04,7369.89,6694.06,7401.43,6705.03,6705.03,7.97851e+08,-9.02093,
2018-09-03,7270.05,7246.76,7417.65,7369.86,7369.86,3.43762e+08,1.37289,
2018-09-02,7301.25,7204.89,7350.58,7270.05,7270.05,3.09328e+08,-0.42746,
2018-09-01,7203.46,7144.71,7384.38,7301.26,7301.26,4.47453e+08,1.35768,
2018-08-31,7026.96,7025.58,7272.03,7203.46,7203.46,3.00302e+08,2.51175,
2018-08-30,6998.76,6903.08,7096.73,7026.96,7026.96,3.49131e+08,0.402931,
2018-08-29,7051.61,6818.69,7072.64,6998.76,6998.76,4.25476e+08,-0.754966,
2018-08-28,7091.38,6944.76,7137.47,7052,7052,3.56139e+08,-0.55532,
2018-08-27,6915.92,6877.2,7136.71,7091.38,7091.38,4.8779e+08,2.53986,
2018-08-26,6720.6,6674.84,6944.21,6915.73,6915.73,4.05769e+08,2.90346,
2018-08-25,6749.71,6588.48,6793.17,6720.6,6720.6,2.65821e+08,-0.429064,
2018-08-24,6708.94,6684.19,6808.89,6749.56,6749.56,2.58297e+08,0.605162,
2018-08-23,6539.13,6481.76,6736.83,6708.96,6708.96,3.82457e+08,2.59996,
2018-08-22,6366.14,6356.96,6575.28,6538.95,6538.95,3.40811e+08,2.71468,
2018-08-21,6491.09,6264.34,6890.79,6366.13,6366.13,7.64005e+08,-1.9254,
2018-08-20,6270.09,6259.81,6506.69,6491.11,6491.11,3.96746e+08,3.52813,
2018-08-19,6502.24,6248.39,6537.54,6269.9,6269.9,3.97981e+08,-3.57234,
2018-08-18,6405.74,6330.56,6560.88,6502.18,6502.18,2.53985e+08,1.506,
2018-08-17,6591.18,6322.44,6622.16,6405.71,6405.71,3.36744e+08,-2.81362,
2018-08-16,6323.81,6300.45,6594.72,6591.16,6591.16,4.77089e+08,4.22767,
2018-08-15,6274.22,6217.33,6478.07,6323.81,6323.81,4.54679e+08,0.790375,
2018-08-14,6199.63,6193.63,6620.07,6274.22,6274.22,8.52103e+08,1.20363,
2018-08-13,6263.2,5891.87,6266.5,6199.6,6199.6,7.59848e+08,-1.01546,
2018-08-12,6322.41,6157.03,6545.02,6263.2,6263.2,4.52432e+08,-0.944496,
2018-08-11,6242.53,6176.89,6483.39,6322.92,6322.92,3.6646e+08,1.28762,
2018-08-10,6152.95,6014.26,6488.55,6242.54,6242.54,5.45723e+08,1.44846,
2018-08-09,6543.25,6025.91,6582.14,6153.41,6153.41,6.39457e+08,-5.95775,
2018-08-08,6285.06,6195.02,6631.23,6543.24,6543.24,5.75748e+08,4.1085,
2018-08-07,6723.29,6133.03,6723.99,6285.02,6285.02,8.38854e+08,-6.51757,
2018-08-06,6945.77,6685.02,7150.86,6723.21,6723.21,5.7569e+08,-3.20439,
2018-08-05,7042.57,6854.79,7160.4,6945.78,6945.78,4.10408e+08,-1.37184,
2018-08-04,7017.89,6898.31,7092.53,7042.39,7042.39,3.68914e+08,0.349108,
2018-08-03,7417.6,6940.15,7490.89,7017.89,7017.89,5.34003e+08,-5.38867,
2018-08-02,7542.34,7296.76,7542.49,7417.6,7417.6,5.86983e+08,-1.65386,
2018-08-01,7610.9,7470.86,7713.32,7542.34,7542.34,4.24094e+08,-0.900814,
